Program, Processes, Rounds, Execution Time (s)
centralized, 2, 1, 4.4e-05
ring, 2, 1, 3.3e-05
symmetric, 2, 1, 1.6e-05
centralized, 2, 2, 2.6e-05
ring, 2, 2, 2.8e-05
symmetric, 2, 2, 2.2e-05
centralized, 2, 3, 2.8e-05
ring, 2, 3, 7.7e-05
symmetric, 2, 3, 4.3e-05
centralized, 4, 1, 7.2e-05
ring, 4, 1, 4.5e-05
symmetric, 4, 1, 8.9e-05
centralized, 4, 2, 7.3e-05
ring, 4, 2, 5.3e-05
symmetric, 4, 2, 4.4e-05
centralized, 4, 3, 0.000151
ring, 4, 3, 5.9e-05
symmetric, 4, 3, 7.8e-05
centralized, 6, 1, 8.4e-05
ring, 6, 1, 8.5e-05
symmetric, 6, 1, 2.6e-05
centralized, 6, 2, 9.6e-05
ring, 6, 2, 0.000213
symmetric, 6, 2, 7.7e-05
centralized, 6, 3, 8.4e-05
ring, 6, 3, 7.7e-05
symmetric, 6, 3, 9.6e-05
centralized, 8, 1, 4.9e-05
ring, 8, 1, 8.9e-05
symmetric, 8, 1, 1.8e-05
centralized, 8, 2, 0.000234
ring, 8, 2, 0.0001
symmetric, 8, 2, 5.5e-05
centralized, 8, 3, 7.4e-05
ring, 8, 3, 0.000163
symmetric, 8, 3, 4.8e-05
